target_file,attribute_name,attribute_definition
,List all the attributes in the dataset. Label continuous attributes with c and discrete with d,
,,
pat_vitals_labeled.csv,Vital signs (columns 1-8),"Doctors order, basis every 4 hours, least invasive, cost least amount of money"
pat_vitals_labeled.csv,HR,Heart rate (beats per minute)
pat_vitals_labeled.csv,O2Sat,Pulse oximetry (%)
pat_vitals_labeled.csv,Temp,Temperature (Deg C)
pat_vitals_labeled.csv,SBP,Systolic BP (mm Hg)
pat_vitals_labeled.csv,MAP,Mean arterial pressure (mm Hg)
pat_vitals_labeled.csv,DBP,Diastolic BP (mm Hg)
pat_vitals_labeled.csv,Resp,Respiration rate (breaths per minute)
pat_vitals_labeled.csv,EtCO2,End tidal carbon dioxide (mm Hg)
pat_vitals_labeled.csv,isSepsis,"For sepsis patients, SepsisLabel is  1 "
,,
pat_labs_labeled.csv,Laboratory values (columns 9-34),"Lab values, basis every 1-3 hours isSepsis=1, more invasive than vitals, increase exposure for infection, cost more money"
pat_labs_labeled.csv,BaseExcess,Measure of excess bicarbonate (mmol/L)
pat_labs_labeled.csv,HCO3,Bicarbonate (mmol/L)
pat_labs_labeled.csv,FiO2,Fraction of inspired oxygen (%)
pat_labs_labeled.csv,pH,
pat_labs_labeled.csv,PaCO2,Partial pressure of carbon dioxide from arterial blood (mm Hg)
pat_labs_labeled.csv,SaO2,Oxygen saturation from arterial blood (%)
pat_labs_labeled.csv,AST,Aspartate transaminase (IU/L)
pat_labs_labeled.csv,BUN,Blood urea nitrogen (mg/dL)
pat_labs_labeled.csv,Alkalinephos,Alkaline phosphatase (IU/L)
pat_labs_labeled.csv,Calcium,(mg/dL)
pat_labs_labeled.csv,Chloride,(mmol/L)
pat_labs_labeled.csv,Creatinine,(mg/dL)
pat_labs_labeled.csv,Bilirubin_direct,Bilirubin direct (mg/dL)
pat_labs_labeled.csv,Glucose,Serum glucose (mg/dL)
pat_labs_labeled.csv,Lactate,Lactic acid (mg/dL)
pat_labs_labeled.csv,Magnesium,(mmol/dL)
pat_labs_labeled.csv,Phosphate,(mg/dL)
pat_labs_labeled.csv,Potassium,(mmol/L)
pat_labs_labeled.csv,Bilirubintotal,Total bilirubin (mg/dL)
pat_labs_labeled.csv,TroponinI,Troponin I (ng/mL)
pat_labs_labeled.csv,Hct,Hematocrit (%)
pat_labs_labeled.csv,Hgb,Hemoglobin (g/dL)
pat_labs_labeled.csv,PTT,partial thromboplastin time (seconds)
pat_labs_labeled.csv,WBC,Leukocyte count (count10^3/µL)
pat_labs_labeled.csv,Fibrinogen,(mg/dL)
pat_labs_labeled.csv,Platelets,(count10^3/µL)
pat_labs_labeled.csv,isSepsis,"For sepsis patients, SepsisLabel is  1 "
,,
pat_demog_labeled.csv,Demographics (columns 35-40),
pat_demog_labeled.csv,First Name,Random 4 characters generated
pat_demog_labeled.csv,Last Name,Random 8 characters generated
pat_demog_labeled.csv,Age,Years (100 for patients 90 or above)
pat_demog_labeled.csv,Gender,Female (0) or Male (1)
pat_demog_labeled.csv,Unit1,Administrative identifier for ICU unit (MICU)
pat_demog_labeled.csv,Unit2,Administrative identifier for ICU unit (SICU)
pat_demog_labeled.csv,HospAdmTime,Hours between hospital admit and ICU admit
pat_demog_labeled.csv,ICULOS ,ICU length-of-stay (hours since ICU admit)
pat_demog_labeled.csv,isSepsis,"For sepsis patients, SepsisLabel is  1 "
